,标题,标题_链接,作者,highwirecitemetadatadoi,abstact,Abstract_num,Full_num,Pdf_num,page
22,Few Effects of a 5-week Computerized Cognitive Training Program in Healthy Older Adults,https://www.biorxiv.org/content/10.1101/570143v1,"Sheida Rabipour, Cassandra Morrison, Jessica Crompton, Marcelo Petrucelli, Murillo de Oliveira Gonçalves Germano, Anita Popescu, Patrick S. R. Davidson",doi: https://doi.org/10.1101/570143 ,"Computerized cognitive training programs are becoming increasingly popular and practical for cognitive aging. Nevertheless, basic questions remain about the benefits of such programs, and about the degree to which participant expectations might influence training and transfer. Here we examined a commercial cognitive training program (Activate) in a 5-week double-blind, pseudo-randomized placebo-controlled trial. Based on a priori power analysis, we recruited 99 healthy older adults 59-91 years of age (M = 68.87, SD = 6.31; 69 women), assigning them to either the intervention or an active control program (Sudoku and n-back working memory exercises). We subdivided both groups into high and low expectation priming conditions, to probe for effects of participants’ expectations on training and transfer. We assessed transfer using a battery of standard neuropsychological and psychosocial measures that had been agreed to by the training program developers. We planned and pre-registered our analyses (on osf.io). The majority (88%) of participants progressed through the training, and most provided positive feedback about it. Similarly, the majority (80%) of participants believed they were truly training their brains. Yet, transfer of training was minimal. Also minimal were any effects of expectations on training and transfer, although participants who received high expectation priming tended to engage more with their assigned program overall. Our findings suggest limited benefits of Activate training on cognition and psychosocial wellbeing in healthy older adults, at least under the conditions we used.",4137,604,1538,43
23,Comparison of three different eye-tracking tasks for distinguishing autistic from typically developing children and autistic symptom severity,https://www.biorxiv.org/content/10.1101/547505v1,"Juan Kou, Jiao Le, Meina Fu, Chunmei Lan, Zhuo Chen, Qin Li, Weihua Zhao, Lei Xu, Benjamin Becker, Keith M Kendrick",doi: https://doi.org/10.1101/547505 ,"Altered patterns of visual social attention preference detected using eye-tracking and a variety of different paradigms are increasingly proposed as sensitive biomarkers for autism spectrum disorder. However, few eye tracking studies have compared the relative efficacy of different paradigms to discriminate between autistic compared with typically developing children and their sensitivity to specific symptoms. To target this issue, the current study used three common eye tracking protocols contrasting social versus non-social stimuli in young (2-7 years old) Chinese autistic (n = 35) and typically developing (n = 34) children matched for age and gender. Protocols included dancing people vs. dynamic geometrical images, biological motion (dynamic light point walking human or cat) vs. non-biological motion (scrambled controls) and child playing with toy vs. toy alone. Although all three paradigms differentiated autistic and typically developing children, the dancing people versus dynamic geometry pattern paradigm was the most effective, with autistic children showing marked reductions in visual preference for dancing people and correspondingly increased one for geometric patterns. Furthermore, this altered visual preference in autistic children was correlated with the ADOS social affect score and had the highest discrimination accuracy. Our results therefore indicate that decreased visual preference for dynamic social stimuli may be the most effective visual attention-based paradigm for use as a biomarker for autism in Chinese children. Clinical trial ID: NCT03286621 (clinicaltrials.gov); Clinical trial name: Development of Eye-tracking Based Markers for Autism in Young Children.Lay summary Eye-tracking measures may be useful in aiding diagnosis and treatment of autism, although it is unclear which specific tasks are optimal. Here we compare the ability of three different social eye-gaze tasks to discriminate between autistic and typically developing young Chinese children and their sensitivity to specific autistic symptoms. Our results show that a dynamic task comparing visual preference for social (individuals dancing) versus geometric patterns is the most effective both for diagnosing autism and sensitivity to its social affect symptoms.",4888,86,1537,27
24,Pool walking may temporarily improve renal function by suppressing renin-angiotensin-aldosterone system in pregnant women,https://www.biorxiv.org/content/10.1101/553081v1,"Tatsuya Yoshihara, Masayoshi Zaitsu, Shiro Kubota, Hisatomi Arima, Toshiyuki Sasaguri",doi: https://doi.org/10.1101/553081 ,"Background This study aimed to examine the effect of pool walking on renal function in pregnant women.Methods Fifteen pregnant women (mean gestational age, 37.8 weeks) walked in a pool (depth 1.3 m) for 1 h. A few days later, they walked on a street for 1 h. Within each activity, the starting and ending levels of plasma renin activity (PRA) and serum aldosterone (SA) were compared using paired t-test. Total urine volume, creatinine clearance, and change in PRA levels between each activity were compared by t-test. Regression coefficients for total urine volume and creatinine clearance during pool walking were estimated by linear regression and additionally controlled for the change in PRA levels. Land walking served as the reference group.Results Within each activity, the renin-angiotensin-aldosterone levels were suppressed during pool walking: the mean starting and ending values of PRA and SA were 6.8 vs. 5.5 ng/mL/h (p=0.002) and 654 vs. 473 pg/mL (p=0.02), respectively. Compared to land walking, the decrease in PRA level was more evident in pool walking (−1.27 vs. 0.81 ng/mL/h, p=0.004), resulting in higher total urine volume and creatinine clearance in pool walking (both p&lt;0.05). In regression analysis, after controlling for the change in PRA levels, the significantly elevated regression coefficients for total urine volume and creatinine clearance in pool walking were attenuated.Conclusions Pool walking may temporarily improve renal function in pregnant women, partly through the suppressed renin-angiotensin-aldosterone system.Clinical Trial Registration URL: https://upload.umin.ac.jp/cgi-bin/ctr/ctr_view_reg.cgi?recptno=R000010618Unique Identifier: UMIN000009051",4257,95,1162,27
25,Improving Proteinuria Screening with Mailed Smartphone Urinalysis Testing in Previously Unscreened Patients with Hypertension: a Randomized Controlled Trial,https://www.biorxiv.org/content/10.1101/536995v1,"Julia Leddy, Jamie A. Green, Christina Yule, Juliann Molecavage, Josef Coresh, Alex R Chang",doi: https://doi.org/10.1101/536995 ,"Background Proteinuria screening is recommended for patients with hypertension to screen for kidney disease and identify those at elevated risk for cardiovascular disease. However, screening rates among hypertensive patients are low. Home testing strategies may be useful in improving proteinuria screening adherence.Methods We conducted an individual-level, randomized trial at 55 primary care clinic sites in the Geisinger Health System to evaluate the effectiveness of a strategy using home smartphone urinalysis test (Dip.io) to complete proteinuria screening in previously unscreened non-diabetic patient portal users with hypertension. All patients received an educational letter and a standing urinalysis lab order, and then were randomized to control (usual care) or intervention. Intervention arm participants were invited to complete proteinuria screening with a mailed home smartphone urinalysis test. Co-primary outcomes were completion of proteinuria screening and number of albuminuria cases (albumin/creatinine ratio [ACR] ≥ 30 mg/g or protein/creatinine ratio ≥ 150 mg/g) at the end of 3 months. We also evaluated patient satisfaction with the home test, and compliance with recommendations for patients with newly detected albuminuria.Results A total of 999 patients were randomized to intervention or control. Out of 499 patients assigned to the intervention arm, 253 were reached by phone, and 69/97 (71.1%) consented patients completed the home test. Overall, the intervention increased proteinuria screening completion (28.9% vs. 18.0%; p&lt;0.001) with no effect on the number of albuminuria cases (4 vs. 4) although only 6/57 (10.5%) patients with trace or 1+ urine dipstick protein had a follow-up quantitative test. Among the 55 patients who completed a survey after the home test, 89% preferred testing at home rather than the physician’s office.Conclusions A strategy using a home urinalysis smartphone test increased proteinuria screening rates in previously unscreened patients with hypertension and may be useful in increasing rates of proteinuria screening compliance. Future studies are needed to determine whether improving early detection of kidney disease can improve future kidney health.Trial Registration Clinical Trial Registry: NCT03470701https://clinicaltrials.gov/ct2/show/NCT03470701",4234,93,1231,19
26,Feedback training can increase detection of happiness in ambiguous facial expressions in children and adults with autism spectrum disorders,https://www.biorxiv.org/content/10.1101/524322v1,"Sarah Griffiths, Angela Suzanne Attwood, Ian Scott Penton-Voak, Christopher Jarrold, Marcus R Munafo",doi: https://doi.org/10.1101/524322 ,"Recognition of subtle emotional facial expressions is challenging for some individuals with autism spectrum disorders (ASD). Training that targets recognition of low intensity emotional expressions may therefore be effective as an intervention to improve social-emotional skills. This paper reports the results of two randomised controlled experiments looking at the effect of a training methodology designed to increase the recognition of happy emotion in low intensity happy facial expressions. The first study implements this training with children with autism spectrum disorder (ASD, N = 14) and the second study implements this training with adults with ASD (N = 27). The training paradigm used images from a morph sequence that mixed a happy expression with a mixed-emotion ‘norm’ expression to create a sequence of varying intensity happy expressions. Participants were asked to say whether or not individual faces from the sequence were happy, to measure their happiness detection threshold. Participants that received active training were given biased feedback to shift their detection threshold, while participants that received control training were given feedback consistent with their baseline threshold. There was some statistical evidence that thresholds in the active training group shifted more than in the control group. This suggests training was successful in increasing the number of expressions that individuals identified as happy. However, there was no evidence that training increased facial expression recognition accuracy, as measured by the Reading the Mind in the Eyes task completed after training (Study 2).",3919,139,1283,16
27,Implanted Nerve Electrical Stimulation allows to Selectively Restore Hand and Forearm Movements in Patients with a Complete Tetraplegia,https://www.biorxiv.org/content/10.1101/534362v1,"Wafa Tigra, Christine Azevedo, Jacques Teissier, Anthony Gelis, Bertrand Coulet, Jean-Louis Divoux, David Guiraud",doi: https://doi.org/10.1101/534362 ,"Background Functional Electrical Stimulation (FES) is used for decades in rehabilitation centers. For patients with a spinal cord injury (SCI), FES can prevent muscular atrophy, reduce spasticity and/or restore limb movements. To this last aim, FES external devices can be used, but elicit imprecise movements. FES implanted devices used neuromuscular stimulation and required implantation of one electrode for each site (muscle) to stimulate, an heavy surgical procedure and 10 times more electrical charges than nerve stimulation. Moreover, complications related to the numerous implanted components could appear over time. The purpose of this work is to evaluate whether a multi-contact nerve cuff electrode can selectively activate forearm and hand muscles and restore functional movements in patient with a complete tetraplegia.Methods A 12-contacts cuff electrode was designed to selectively activate, without damage it, multi fascicular peripheral nerve (1). Six subjects rwith at least one extensor or one flexor muscle stimulable by surface electrical stimulation, have been enrolled into the study. During the surgical procedure, radial or median nerve was stimulated through up to 35 different configurations of stimulation at an intensity up to 2.1 mA (25 Hz, pulse width 250 µs, inter-pulse 100 µs). Surface electrodes were positioned upon the forearm to record compound muscle action potentials elicited by nerve electrical stimulation. Recruitments curves and videos were recorded.Results The multicontact cuff electrode allowed us to selectively activate group of muscles to produce multiple, independent and functional hand and forearm movements in persons with tetraplegia. A surface electrical stimulation did not allow all those movements.",4897,126,1462,20
28,"Rice bran supplementation modulates growth, microbiome and metabolome in weaning infants: a clinical trial in Nicaragua and Mali",https://www.biorxiv.org/content/10.1101/530089v1,"Luis E. Zambrana, Starin McKeen, Hend Ibrahim, Iman Zarei, Erica C. Borresen, Lassina Doumbia, Abdoulaye Bore, Alima Cissoko, Seydou Douyon, Karim Kone, Johann Perez, Claudia Perez, Ann Hess, Zaid Abdo, Lansana Sangare, Ababacar Maiga, Sylvia Becker-Dreps, Lijuan Yuan, Ousmane Koita, Samuel Vilchez, Elizabeth P. Ryan",doi: https://doi.org/10.1101/530089 ,"Rice bran supplementation provides nutrients, prebiotics and phytochemicals that enhance gut immunity, reduce enteric pathogens in mice and diarrhea in neonatal pigs, and warranted attention for improvement of environmental enteric dysfunction (EED) in children at risk. EED is a condition that drives childhood stunting via intestinal dysbiosis and impaired nutrient metabolism. This study investigated effects of rice bran supplementation on growth, EED biomarkers, gut microbiome and metabolome in weaning infants from 6 to 12 months old in Nicaragua and Mali. Healthy infants were randomized to a control group or rice bran group that received daily supplementation at increasing doses each month. Stool microbiomes were characterized using 16S rDNA amplicon sequencing. Stool metabolomes were analyzed using ultra-high-performance liquid-chromatography tandem mass-spectrometry. Statistical comparisons were completed at 6, 8, and 12 months of age. Daily consumption of rice bran was safe and feasible for infant growth, decreasing alpha-1 antitrypsin levels, and modulating gut microbiome and metabolome when compared to control. Rice bran merits investigation as a practical intervention strategy that could decrease EED prevalence and risk for children from low- and middle-income countries where rice is grown as a staple food, and bran is used as animal feed or wasted.One Sentence Summary Dietary rice bran supplementation during infant weaning from 6-12 months of age improved growth outcomes, modulated environmental enteric dysfunction biomarkers, and supported metabolism by the gut microbiome.The authors declare no competing financial or non financial interests to disclose as defined by Nature Research. There are also no other interests that might be perceived to influence the results and/or discussion reported in this paper.Correspondence and requests for materials should be addressed to Dr. Elizabeth Ryan (e.p.ryan{at}colostate.edu).",4321,134,1545,53
29,"Use of a pandemic H1N1 strain with updated haemagglutinin and neuraminidase results in increased nasopharyngeal shedding and improved immunogenicity to Russian-backbone live attenuated influenza vaccine among children aged 2 – 4 years old: an open-label, prospective, observational, phase 4 study in The Gambia",https://www.biorxiv.org/content/10.1101/519256v1,"Benjamin B. Lindsey, Ya Jankey Jagne, Edwin P. Armitage, Anika Singanayagam, Hadijatou J. Sallah, Sainabou Drammeh, Elina Senghore, Nuredin I. Mohammed, David Jeffries, Katja Höschler, John S. Tregoning, Adam Meijer, Ed Clarke, Tao Dong, Wendy Barclay, Beate Kampmann, Thushan I. de Silva",doi: https://doi.org/10.1101/519256 ,"Background Poor efficacy and effectiveness of the pandemic H1N1 (pH1N1) component in intranasal live attenuated influenza vaccine (LAIV) has been demonstrated in several studies. The reasons for this are unclear, but may be due to impaired replicative fitness of pH1N1 A/California/07/2009-like (Cal09) LAIV strains.Methods In an open-label, prospective, observational, phase 4 study, we evaluated the impact of updating the pH1N1 component in the Russian-backbone trivalent LAIV from Cal09 in 2016-17 (n=118) to an A/Michigan/45/2015-like strain (A/17/New York/15/5364, NY15) in 2017-18 (n=126), on shedding and immunogenicity in Gambian children aged 2-4 years old. The study was nested within a larger randomised controlled trial investigating LAIV-microbiome interactions (ClinicalTrials.gov NCT02972957).Findings Cal09 showed impaired nasopharyngeal shedding compared to H3N2 and influenza B, along with sub-optimal serum antibody and T-cell responses. Following the switch to NY15, a significant increase in pH1N1 shedding was seen, along with improvements in seroconversion and influenza-specific CD4+ T-cell responses. Viral kinetics in vitro mirrored these findings, with NY15 showing greater replicative ability than Cal09 in human nasal epithelial cells. Persistent shedding to day 7 was independently associated with both seroconversion and CD4+ T cell response in multivariable logistic regression.Interpretation Our results suggest that the pH1N1 component switch in LAIV may have overcome problems in prior formulations. LAIV effectiveness against pH1N1 should therefore improve in upcoming influenza seasons. Our data also highlight the importance of evaluating replicative fitness, in addition to antigenicity, when selecting annual LAIV components and design of potentially more effective vaccines.Funding The Wellcome Trust.",4255,176,1262,29
30,"Effects of water, sanitation, handwashing and nutritional interventions on soil-transmitted helminth infections in young children: a cluster-randomized controlled trial in rural Bangladesh",https://www.biorxiv.org/content/10.1101/512509v1,"Ayse Ercumen, Jade Benjamin-Chung, Benjamin F. Arnold, Audrie Lin, Alan E. Hubbard, Christine Stewart, Zahidur Rahman, Sarker Masud Parvez, Leanne Unicomb, Mahbubur Rahman, Rashidul Haque, John M. Colford Jr., Stephen P. Luby",doi: https://doi.org/10.1101/512509 ,"Background Soil transmitted helminths (STH) infect &gt;1.5 billion people. Mass drug administration (MDA) reduces infection; however, drug resistance is emerging and reinfection occurs rapidly. We conducted a randomized controlled trial in Bangladesh (WASH Benefits, NCT01590095) to assess whether water, sanitation, hygiene and nutrition interventions, alone and combined, reduce STH in a setting with ongoing MDA.Methodology/Principal Findings We randomized clusters of pregnant women into water treatment, sanitation, handwashing, combined water+sanitation+handwashing (WSH), nutrition, nutrition+WSH (N+WSH) or control arms. After 2.5 years of intervention, we enumerated STH infections in children aged 2-12 years with Kato-Katz. We estimated intention-to-treat intervention effects on infection prevalence and intensity. Participants and field staff were not blinded; laboratory technicians and data analysts were blinded.In 2012-2013, we randomized 5551 women in 720 clusters. In 2015-2016, we enrolled 7795 children of 4102 available women for STH follow-up and collected stool from 7187. Prevalence among controls was 36.8% for A. lumbricoides, 9.2% for hookworm and 7.5% for T. trichiura. Most infections were low-intensity. Compared to controls, the water intervention reduced hookworm (prevalence ratio [PR]=0.69 (0.50, 0.95), prevalence difference [PD]=−2.83 (−5.16, −0.50)) but did not affect other STH. Sanitation improvements reduced T. trichiura (PR=0.71 (0.52, 0.98), PD=−2.17 (−4.03, −0.38)), had a similar borderline effect on hookworm and no effect on A. lumbricoides. Handwashing and nutrition interventions did not reduce any STH. WSH and N+WSH reduced hookworm prevalence by 29-33% (2-3 percentage points) and marginally reduced A. lumbricoides. Effects on infection intensity were similar.Conclusions/Significance In a low-intensity infection setting with MDA, we found modest but sustained hookworm reduction from water treatment, sanitation and combined WSH interventions. Interventions more effectively reduced STH species with no persistent environmental reservoirs. Our findings highlight waterborne transmission for hookworm and suggest that water treatment and sanitation improvements can augment MDA programs to interrupt STH transmission.Author summary Soil-transmitted helminths (STH) infect &gt;1.5 billion people worldwide. Mass-administration of deworming drugs is the cornerstone of global strategy for STH control but treated individuals often rapidly get reinfected and there is also concern about emerging drug resistance. Interventions to treat drinking water, wash hands at critical times and isolate human feces from the environment through improved sanitation could reduce STH transmission by reducing the spread of ova from the feces of infected individuals into the environment and subsequently to new hosts, while nutrition improvements could reduce host susceptibility to infection. Existing evidence on the effect of these interventions on STH is scarce. In a setting with ongoing mass-drug administration, we assessed the effect of individual and combined water, sanitation, handwashing and nutrition interventions on STH infection in children. Approximately 2.5 years after delivering interventions, we found reductions in STH infection from water treatment and sanitation interventions; there was no reduction from the handwashing and nutrition interventions. While the reductions were modest in magnitude compared to cure rates achieved by deworming drugs, they indicated sustained reduction in environmental transmission. The reductions were more pronounced for STH species that do not have persistent environmental reservoirs. These findings suggest that water treatment and sanitation interventions can augment mass-drug administration programs in striving toward elimination of STH.",4234,182,1454,42
31,Integrating Quality of Life and Survival Outcomes Cardiovascular Clinical Trials: Results from the PARTNER Trial,https://www.biorxiv.org/content/10.1101/513895v1,"Jacob V. Spertus, Laura A. Hatfield, David J. Cohen, Suzanne V. Arnold, Martin Ho, Philip G. Jones, Martin Leon, Bram Zuckerman, John A. Spertus",doi: https://doi.org/10.1101/513895 ,"Background Survival and health status (e.g., symptoms and quality of life) are key outcomes in clinical trials of heart failure treatment. However, health status can only be recorded on survivors, potentially biasing treatment effect estimates when there is differential survival across treatment groups. Joint modeling of survival and health status can address this bias.Methods and Results We analyzed patient-level data from the PARTNER 1B trial of transcatheter aortic valve replacement (TAVR) versus standard care. Health status was quantified with the Kansas City Cardiomyopathy Questionnaire (KCCQ) at randomization, 1, 6, and 12 months. We compared hazard ratios for survival and mean differences in KCCQ scores at 12 months using several models: the original growth curve model for KCCQ scores (ignoring death), separate Bayesian models for survival and KCCQ scores, and a Bayesian joint longitudinal-survival model fit to either 12 or 30 months of survival follow-up. The benefit of TAVR on 12-month KCCQ scores was greatest in the joint model fit to all survival data (mean difference = 33.7 points; 95% CrI: 24.2, 42.4), followed by the joint model fit to 12 months of survival follow-up (32.3 points; 95% CrI: 22.5, 41.5), a Bayesian model without integrating death (30.4 points; 95% CrI: 21.4, 39.3), and the original growth curve model (26.0 points; 95% CI: 18.7, 33.3). At 12 months, the survival benefit of TAVR was also greater in the joint model (hazard ratio = 0.50; 95% CrI: 0.32, 0.73) than in the non-joint Bayesian model (0.54; 95% CrI: 0.37, 0.75) or the original Kaplan-Meier estimate (0.55; 95% CI: 0.40, 0.74).Conclusions In patients with severe symptomatic aortic stenosis and prohibitive surgical risk, the estimated benefits of TAVR on survival and health status compared with standard care were greater in joint Bayesian models than other approaches.",3871,182,1215,18
32,Prevention of heart failure in hypertension – disentangling the role of evolving left ventricular hypertrophy and blood pressure lowering: the ALLHAT study,https://www.biorxiv.org/content/10.1101/514323v1,"Kyle Johnson, Suzanne Oparil, Barry R. Davis, Larisa G. Tereshchenko",doi: https://doi.org/10.1101/514323 ,"Background Hypertension (HTN) is a known risk factor for heart failure (HF), possibly via the mechanism of cardiac remodeling and left ventricular hypertrophy (LVH). We studied how much blood pressure (BP) change and evolving LVH contribute to the effect that lisinopril, doxazosin, amlodipine have on HF compared to chlorthalidone.Methods We conducted causal mediation analysis of Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT) data. ALLHAT participants with available serial ECGs and BP measurements were included (n=29,892; mean age 67±4 y; 32% black; 56% men): 11,008 were randomized to chlorthalidone, 5,967 – to doxazosin, 6,593 – to amlodipine, and 6,324 – to lisinopril. Evolving ECG-LVH, and BP-lowering served as mediators. Incident symptomatic HF was the primary outcome. Linear regression (for mediator) and logistic regression (for outcome) models were adjusted for mediator-outcome confounders (demographic and clinical characteristics known to be associated both with both LVH/HTN and HF).Results A large majority of participants (96%) had ECG-LVH status unchanged; 4% developed evolving ECG-LVH. On average, BP decreased by 11/7 mmHg. In adjusted Cox regression analyses, progressing ECG-LVH [HR 1.78(1.43-2.22)], resolving ECG-LVH [HR 1.33(1.03-1.70)], and baseline ECG-LVH [1.17(1.04-1.31)] carried risk of incident HF. After full adjustment, evolving ECG-LVH mediated 4% of the effect of doxazosin on HF. Systolic BP-lowering mediated 12% of the effect of doxazosin, and diastolic BP-lowering mediated 10% effect of doxazosin, 7% effect of amlodipine, and borderline 9% effect of lisinopril on HF.Conclusions Evolving ECG-LVH and BP change account for 4-13% of the mechanism by which antihypertensive medications prevent HF.",4087,209,1301,37
33,Exploratory analyses suggest less cognitive decline with nilvadipine treatment in very mild Alzheimer’s disease subjects,https://www.biorxiv.org/content/10.1101/345652v3,"L Abdullah, F Crawford, H Langlois, M Tsolaki, A Börjesson-Hanson, M Olde Rikkert, F Pasquier, A Wallin, S Kennelly, S Hendrix, K Blennow, B Lawlor, M Mullan",doi: https://doi.org/10.1101/345652 ,"Background We explored whether the effects of nilvadipine on cognition were influenced by baseline Alzheimer’s disease (AD) severity.Methods Exploratory analyses were performed on the modified intention-to-treat (mITT) dataset (n = 497) of a phase III randomized placebo-controlled trial to examine the response to nilvadipine in very mild, mild and moderate AD subjects. The outcome measures included total and subscale scores of the Alzheimer’s Disease Assessment Scale Cognitive 12 (ADAS-Cog 12), the Clinical Dementia Rating Scale sum of boxes (CDR-sb) and the AD composite score (ADCOMS), an outcome measure recently developed to detect treatment responses in subjects with prodromal AD. Cerebrospinal fluid (CSF) biomarkers Aβ38, Aβ40, Aβ42, total tau and P181 tau were measured in a subset of samples (n = 55). Regression analyses were adjusted for potential confounders and effect modifiers in order to examine the interactive effects of nilvadipine and AD severity on cognitive outcomes over 78-weeks.Results Compared to their respective placebo-controls, nilvadipine-treated, very mild AD subjects showed less decline, whereas moderate AD subjects showed greater decline on the ADAS-Cog 12. Also in very mild AD, a beneficial effect (as measured by ADCOMS), was detected in the nilvadipine treated group. Therapeutic effects of nilvadipine were also observed for a composite memory trait in very mild AD subjects and a composite language trait in mild AD subjects. CSF Aβ42/Aβ40 ratios were increased in mild AD and decreased in moderate AD patients treated with nilvadipine, compared to their respective controls.Conclusion These data suggest that very mild AD subjects benefited from nilvadipine and that future clinical trials of nilvadipine in this population are required to confirm these findings.Trial Registration NCT02017340 Registered 20 December 2013, https://clinicaltrials.gov/ct2/show/NCT02017340EUDRACT Reference Number 2012-002764-27 Registered 04 February 2013, https://www.clinicaltrialsregister.eu/ctr-search/search?query=2012-002764-27",2537,260,821,26
34,Biomarkers of collagen synthesis predict progression in the PROFILE idiopathic pulmonary fibrosis cohort,https://www.biorxiv.org/content/10.1101/497156v1,"Louise A Organ, Anne-Marie R Duggan, Eunice Oballa, Sarah C Taggart, Juliet K Simpson, Arthur R Kang’ombe, Rebecca Braybrooke, Philip L Molyneaux, Diana J Leeming, Morten A Karsdal, Carmel B Nanthakumar, William A Fahy, Richard P Marshall, R Gisli Jenkins, Toby M Maher",doi: https://doi.org/10.1101/497156 ,"Idiopathic pulmonary fibrosis (IPF) is characterised by excessive extracellular matrix (ECM) deposition and remodelling. Measuring this activity provides an opportunity to develop tools capable of identifying individuals at-risk of progression. Longitudinal change in markers of ECM synthesis was assessed in 145 newly-diagnosed individuals with IPF.Serum levels of collagen synthesis neoepitopes, PRO-C3 and PRO-C6 (collagen type 3 and 6), were elevated in IPF compared with controls at baseline, and progressive disease versus stable disease during follow up, (PRO-C3 p&lt;0.001; PRO-C6 p=0.029). Assessment of rate of change in neoepitope levels from baseline to 3 months (defined as ‘slope to month 3’: HIGH slope, slope &gt; 0 vs. LOW slope, slope &lt;=0) demonstrated no relationship with mortality for these markers (PRO-C3 (HR 1.62, p=0.080); PINP (HR 0.76, p=0.309); PRO-C6 (HR 1.14, p=0.628)). As previously reported, rising concentrations of collagen degradation markers C1M, C3M, C6M and CRPM were associated with an increased risk of overall mortality (HR=1.84, CI 1.03 – 3.27, p=0.038, HR=2.44, CI 1.39–4.31, p=0.002; HR= 2.19, CI 1.25–3.82, p=0.006; HR= 2.13 CI 1.21–3.75, p=0.009 respectively).Elevated levels of PRO-C3 and PRO-C6 associate with IPF disease progression. Collagen synthesis and degradation biomarkers have the potential to enhance clinical trials in IPF and may inform prognostic assessment and therapeutic decision making in the clinic.",1694,177,466,28
35,Effects of varenicline and cognitive bias modification on neural response to smoking-related cues: a randomised control trial,https://www.biorxiv.org/content/10.1101/480566v1,"Angela S. Attwood, Tim M. Williams, F. Joseph McClernon, Rachel Kozink, Sally Adams, Karl Scheeres, Amy Green, David Christmas, Marcus R. Munafò",doi: https://doi.org/10.1101/480566 ,"Drug-related cognitive biases have been positively associated with drug-craving and increased likelihood of relapse. Cognitive bias modification paradigms have been developed to attenuate cognitive biases but there have been few studies that examined neural responses to these paradigms. This study compared neural responses following CBM and explored whether CBM effects were potentiated by varenicline administration. This was a double-blind placebo-controlled study with two between subject factors of drug (varenicline, placebo) and CBM (attend towards smoking cues, train away from smoking cues, control training) that recruited daily (≥ 10 cigarettes per day) non-treatment seeking smokers. Participants (n = 67, 53% female) were randomised to one-week of drug administration (varenicline or placebo) before attending a study session at which they were randomised to CBM condition, and underwent an fMRI scan were they were presented with smoking and neutral cues. Neural response to smoking (vs. neutral) cues, cognitive bias, craving and mood were assessed. There was no evidence of CBM effects on any outcomes. There was evidence of effects of varenicline on craving, with greater reductions in craving in the week preceding the study session in the varencline group (p = 0.04, ηp2 = .06). There was also evidence of a drug by CBM interaction for neural responses (z = 3.78, p &lt;0.001). Compared to placebo, varenicline was associated with greater activation in the right temporal middle gyrus in the CBM control condition, compared to an opposite effect in the CBM “attend towards” condition. These data suggest that CBM does not modify cognitive bias, subjective craving and mood, or neural response to smoking cues. There was also no evidence that CBM effects were potentiated by varenicline.",1131,142,254,26
36,Patient reported distress can aid clinical decision making in idiopathic pulmonary fibrosis: analysis of the PROFILE cohort,https://www.biorxiv.org/content/10.1101/460626v2,"Iain Stewart, Tricia McKeever, Rebecca Braybrooke, Eunice Oballa, Juliet K Simpson, Toby M Maher, Richard P Marshall, Pauline T Lukey, William A Fahy, Gisli Jenkins, Gauri Saini",doi: https://doi.org/10.1101/460626 ,"Idiopathic pulmonary fibrosis is a progressive and fatal interstitial lung disease. We aimed to determine if patient response to a palliative assessment survey could predict disease progression or death.We undertook a cross-sectional study in a UK clinical cohort of incident cases. Rasch-based methodology provided a disease distress value from an abridged 11 item model of the original 45 item survey. Distress values were compared with measures of lung function. Disease progression or mortality alone was predicted at twelve months from survey completion, with risk of death assessed at three, six and twelve months.Disease distress values were negatively correlated with lung function (r=-0.275 percent predicted DLCO). Expected survey scores computed from distress values could distinguish disease progression, 8.8 (p=0.004), and people who died, 10.2 (p=0.002), from those who did not progress, 6.9. Actual survey scores predicted disease progression and mortality with an area under the curve of 0.60 and 0.64, respectively. Each point increment in actual score increased risk of twelve-month mortality by 10%, almost 43% of people scoring above 18 did not survive beyond 105 days.We define a short questionnaire that can score disease distress and predict prognosis, assisting clinical decision making in progressive fibrosis.",1459,235,585,23
37,The effect of dietary intervention on inflammatory markers in patients with type 2 diabetes. An analysis of the Lifestyle Over and Above Drugs in Diabetes (LOADD) study,https://www.biorxiv.org/content/10.1101/483412v1,"Chris S Booker, Kirsten J Coppell, Ashley Duncan, Minako Kataoka, Sheila M Williams, Jim I Mann",doi: https://doi.org/10.1101/483412 ,"SummaryNinety-three participants with poorly controlled type 2 diabetes despite optimized drug therapy were randomised to receive intensive dietary advice or usual care for six months. Following dietary intervention a significant reduction in interleukin-18 levels was observed, with a ratio of change (95% CI) of 0.90 (0.82-0.99); p = 0.033. Changes in IL-18 correlated with changes in neopterin, r = 0.299 (p = 0.009)AbbreviationsCRPC-reactive proteinIL-6/10/18interleukins 6 10 or 18IL-18BPinterleukin-18 binding proteinTNFαtumour necrosis factor alphasTNF-R1/2soluble tumour necrosis factor receptors 1 or 2IFN-γinterferon gamma",1122,146,368,8
